average_rating,brand,category,id,name,price,primary_category,sold,total_rating,url
4.8,Alan Phan,Nhà Sách Tiki,3679495,Góc Nhìn Alan - Dành Tặng Doanh Nhân Việt Trong Thế Trận Toàn Cầu,199000,Sách tiếng Việt,1193,126,https://tiki.vn/goc-nhin-alan-danh-tang-doanh-nhan-viet-trong-the-tran-toan-cau-p3608617.html?itm_campaign=CTP_YPD_TKA_PLA_UNK_ALL_UNK_UNK_UNK_UNK_X.277087_Y.1859407_Z.3870014_CN.Sach-doanh-nhan&itm_medium=CPC&itm_source=tiki-ads&
5.0,Thomas Sowell,Nhà Sách Tiki,199692509,"Basic Economics: Kinh tế học cơ bản, a bờ cờ, kinh tế học nhập môn cho nhà đầu tư",569000,Sách tiếng Việt,1423,202,https://tiki.vn/basic-economics-kinh-te-hoc-co-ban-a-bo-co-kinh-te-hoc-nhap-mon-cho-nha-dau-tu-p199692508.html?itm_campaign=CTP_YPD_TKA_PLA_UNK_ALL_UNK_UNK_UNK_UNK_X.294593_Y.1876913_Z.3959484_CN.Product-Ads-21%2F06%2F2024-%2F-BASIC&itm_medium=CPC&itm_source=tiki-ads&
5.0,Yoo Eun Jung,Nhà Sách Tiki,121635153,Không Ai Có Thể Làm Bạn Tổn Thương Trừ Khi Bạn Cho Phép (Tặng Kèm 1 Bộ Bookmark Gồm 4 Cái),78900,Sách tiếng Việt,5000+,1754,https://tiki.vn/khong-ai-co-the-lam-ban-ton-thuong-tru-khi-ban-cho-phep-tang-kem-1-bo-bookmark-gom-4-cai-p121635152.html?
5.0,Kulzsc,Nhà Sách Tiki,190861559,Yêu Những Ngày Nắng Chẳng Ghét Những Ngày Mưa,59000,Sách tiếng Việt,5000+,895,https://tiki.vn/yeu-nhung-ngay-nang-chang-ghet-nhung-ngay-mua-p190861557.html?
4.8,Tạ Quốc Kế,Nhà Sách Tiki,143217516,Điềm Tĩnh Và Nóng Giận,66900,Sách tiếng Việt,5000+,1137,https://tiki.vn/diem-tinh-va-nong-gian-p143217512.html?
5.0,Yasuhisa Hara,Nhà Sách Tiki,196515662,Blue Period - Tập 04,33700,Sách tiếng Việt,919,167,https://tiki.vn/blue-period-tap-04-p196515658.html?
4.8,J.Soori,Nhà Sách Tiki,194959175,Semantic Error – Lỗi Logic (Tập 2),142000,Sách tiếng Việt,2466,645,https://tiki.vn/semantic-error-loi-logic-tap-2-p194959173.html?
4.8,Jo Hemmings,Nhà Sách Tiki,72459687,How Psychology Works - Hiểu Hết Về Tâm Lý Học,216000,Sách tiếng Việt,5000+,3396,https://tiki.vn/how-psychology-works-hieu-het-ve-tam-ly-hoc-p72459686.html?
5.0,Ken Wakui,Nhà Sách Tiki,195969678,Tokyo Revengers - Tập 4,46000,Sách tiếng Việt,943,202,https://tiki.vn/tokyo-revengers-tap-4-p195969664.html?
4.8,Ca Tây,Nhà Sách Tiki,68585577,"Càng Kỷ Luật, Càng Tự Do",73900,Sách tiếng Việt,5000+,3564,https://tiki.vn/cang-ky-luat-cang-tu-do-p68585576.html?
5.0,Yamaguchi Tsubasa,Nhà Sách Tiki,194960724,Blue Period - Tập 03,21000,Sách tiếng Việt,1421,256,https://tiki.vn/blue-period-tap-03-p194960721.html?
4.8,Dale Carnegie,Nhà Sách Tiki,111285063,Đắc Nhân Tâm (Bìa Mềm)(Tái Bản),59200,Sách tiếng Việt,5000+,1067,https://tiki.vn/dac-nhan-tam-bia-mem-tai-ban-p111285062.html?
4.8,Diệp Hồng Vũ,Nhà Sách Tiki,106863965,Tâm Lý Học - Phác Họa Chân Dung Kẻ Phạm Tội,98900,Sách tiếng Việt,5000+,6127,https://tiki.vn/tam-ly-hoc-phac-hoa-chan-dung-ke-pham-toi-p106863963.html?
5.0,Bạch Tô,Nhà Sách Tiki,85763212,Hãy Khiến Tương Lai Biết Ơn Vì Hiện Tại Bạn Đã Cố Gắng Hết Mình (Tặng Kèm: 01 Bookmark),75100,Sách tiếng Việt,5000+,2482,https://tiki.vn/hay-khien-tuong-lai-biet-on-vi-hien-tai-ban-da-co-gang-het-minh-tang-kem-01-bookmark-p85763211.html?
4.8,Ken Mogi,Nhà Sách Tiki,10095277,Ikigai - Bí Mật Sống Trường Thọ Và Hạnh Phúc Của Người Nhật,69200,Sách tiếng Việt,5000+,716,https://tiki.vn/ikigai-bi-mat-song-truong-tho-va-hanh-phuc-cua-nguoi-nhat-p10095276.html?
4.8,Rosie Nguyễn,Nhà Sách Tiki,113530807,Tuổi Trẻ Đáng Giá Bao Nhiêu (Tái Bản),69200,Sách tiếng Việt,5000+,1496,https://tiki.vn/tuoi-tre-dang-gia-bao-nhieu-tai-ban-p113530805.html?
5.0,Higashino Keigo,Nhà Sách Tiki,3304877,Điều Kỳ Diệu Của Tiệm Tạp Hóa NAMIYA (Tái Bản),80800,Sách tiếng Việt,5000+,4690,https://tiki.vn/dieu-ky-dieu-cua-tiem-tap-hoa-namiya-tai-ban-p3304875.html?
5.0,Song Hong Bing,Nhà Sách Tiki,168283407,Chiến Tranh Tiền Tệ - Phần 1 - Ai Thực Sự Là Người Giàu Nhất Thế Giới ( Tái Bản 2022),115000,Sách tiếng Việt,5000+,761,https://tiki.vn/chien-tranh-tien-te-phan-1-ai-thuc-su-la-nguoi-giau-nhat-the-gioi-tai-ban-2022-p168283405.html?
4.7,Frank Herbert,Nhà Sách Tiki,145288030,Xứ Cát,124000,Sách tiếng Việt,5000+,1296,https://tiki.vn/xu-cat-p145288029.html?
5.0,David R.Hawkins,Nhà Sách Tiki,161008716,Power Vs Force - Trường Năng Lượng Và Những Nhân Tố Quyết Định Hành Vi Của Con Người (Tái Bản),119000,Sách tiếng Việt,5000+,542,https://tiki.vn/power-vs-force-truong-nang-luong-va-nhung-nhan-to-quyet-dinh-hanh-vi-cua-con-nguoi-tai-ban-p161008715.html?
4.8,Nhiều tác giả,Nhà Sách Tiki,54614798,"Có Một Ngày, Bố Mẹ Sẽ Già Đi",64900,Sách tiếng Việt,5000+,2419,https://tiki.vn/co-mot-ngay-bo-me-se-gia-di-p54614797.html?
